data_hora,algoritmo,linhas,colunas,encontrou_solucao,passos,custo,nos_expandidos,nos_gerados,fronteira_maxima,percentual_explorado,percentual_caminho,tempo_execucao_ms,memoria_pico_kib
2026-07-20T22:08:08,A*,100,100,True,198,198,437,698,262,4.37,1.9800000000000002,15.2413000469096,613.82421875
2026-07-20T22:09:30,A*,100,100,True,198,198,957,1415,459,9.569999999999999,1.9800000000000002,24.78860004339367,654.14453125
2026-07-20T22:17:21,A*,100,100,True,198,198,831,1264,434,8.309999999999999,1.9800000000000002,23.83439999539405,654.76953125
2026-07-20T22:49:32,A*,100,100,True,198,198,409,651,243,4.09,1.9800000000000002,14.69759998144582,613.5234375
2026-07-20T22:49:51,A*,100,100,True,198,198,409,651,243,4.09,1.9800000000000002,18.951899954117835,613.5234375
2026-07-20T22:50:43,A*,100,100,True,198,198,409,651,243,4.09,1.9800000000000002,14.7434999817051,613.5234375
